White-box, modelA, 0.3 : 73.0 
White-box, modelA, 0.3 : 73.0 
Query based 0.01, modelA, 0.3 : 12.0 
White-box, modelA, 0.3 : 68.99 
Query based 1.0, modelA, 0.3 : 9.18 
White-box, modelA, 0.3 : 68.99 
Query based 1.0, modelA, 0.3 : 9.18 
White-box, modelA, 0.3 : 70.0 
Query based 1.0, modelA, 0.3 : 10.0 
White-box, modelA, 0.3 : 0.0 
Query based 1.0, modelA, 0.3 : 0.0 
White-box, modelA, 0.3 : 0.0 
Query based 1.0, modelA, 0.3 : 0.0 
White-box, modelA, 0.3 : 0.0 
Query based 1.0, modelA, 0.3 : 0.0 
White-box, modelA, 0.3 : 0.0 
Query based 1.0, modelA, 0.3 : 0.0 
White-box, modelA, 0.3 : 70.0 
Query based 1.0, modelA, 0.3 : 10.0 
White-box, modelA, 0.3 : 70.0 
Query based 1.0, modelA, 0.3 : 10.0 
White-box, modelA, 0.3 : 68.99 
Query based 0.0001, modelA, 0.3 : 5.76 
White-box, modelA, 0.3 : 68.99 
Query based 0.01, modelA, 0.3 : 9.01 
White-box, modelA, 0.3 : 68.99 
Query based 0.1, modelA, 0.3 : 12.12 
White-box, modelA, 0.3 : 68.99 
Query based 0.5, modelA, 0.3 : 11.76 
White-box, modelA, 0.3 : 68.99 
Query based 1.0, modelA, 0.3 : 9.18 
