<<<<<<< HEAD
0.0 0.79 0.0 
0.025 2.32 0.517241835594 
0.05 5.45 1.03082954884 
0.075 11.27 1.54272484779 
0.1 20.7 2.05274295807 
0.15 48.51 3.06776022911 
0.2 75.03 4.07692193985 
0.25 88.4 5.08051252365 
0.3 92.83 6.07788848877 
0.35 94.02 7.07013034821 
0.4 93.82 8.05683326721 
0.45 93.23 9.03804397583 
0.5 92.41 10.0131750107 
0.3 92.7 6.00851106644 
0.3 92.8 5.77274608612 
0.3 100.0 6.15209674835 
0.3 100.0 6.15209674835 
0.3 100.0 6.15209674835 
0.3 100.0 6.15209674835 
0.3 100.0 6.15209674835 
0.3 100.0 6.15209674835 
=======
0.0 0.79 0.0
0.025 2.32 0.517241835594
0.05 5.45 1.03082954884
0.075 11.27 1.54272484779
0.1 20.7 2.05274295807
0.15 48.51 3.06776022911
0.2 75.03 4.07692193985
0.25 88.4 5.08051252365
0.3 92.83 6.07788848877
0.35 94.02 7.07013034821
0.4 93.82 8.05683326721
0.45 93.23 9.03804397583
0.5 92.41 10.0131750107
>>>>>>> cb69df4d0c7176269788c3a65c706bcec3962973
0.3 96.0 6.13266801834 
0.3 96.0 6.13266801834 
